board,letter_pool,minimum_words,total_solution_count,sample_solution_number,sample_words
41,AZRVZIJMRWZAQIDLCIIOJUWTA,5,500,7,ARC | MID | VOW | JAIL | JAZZ | QUIZ | WRIT
41,AZRVZIJMRWZAQIDLCIIOJUWTA,5,500,8,ARM | JAR | WOW | ZIT | JAZZ | QUID | CIVIL
42,EAZJEZANUZBWZVEPUUPIEVMIR,5,411,1,AIM | EVE | PUN | BUZZ | JAZZ | PURE | VIEW
42,EAZJEZANUZBWZVEPUUPIEVMIR,5,411,2,AIM | PUP | RUE | BUZZ | EVEN | JAZZ | VIEW
42,EAZJEZANUZBWZVEPUUPIEVMIR,5,411,3,AIM | PUP | BUZZ | JAZZ | VIEW | REVENUE
42,EAZJEZANUZBWZVEPUUPIEVMIR,5,411,4,AIM | PUP | BUZZ | JAZZ | VENUE | REVIEW
42,EAZJEZANUZBWZVEPUUPIEVMIR,5,411,5,AIM | PUP | BUZZ | JAZZ | VENUE | VIEWER
42,EAZJEZANUZBWZVEPUUPIEVMIR,5,411,6,AIM | PUP | JAZZ | VIEW | VENUE | BUZZER
42,EAZJEZANUZBWZVEPUUPIEVMIR,5,411,7,AIM | BUZZ | JAZZ | VIEW | UPPER | VENUE
42,EAZJEZANUZBWZVEPUUPIEVMIR,5,411,8,AIR | EVE | PUP | BUZZ | JAZZ | MENU | VIEW
43,VSUZYZUVLAAIJNISKRNHAUJJE,5,378,1,ALE | HIS | SUN | JAZZ | JUNK | JURY | VIVA
43,VSUZYZUVLAAIJNISKRNHAUJJE,5,378,2,ANY | JAZZ | JIVE | JUNK | RUSH | VISUAL
43,VSUZYZUVLAAIJNISKRNHAUJJE,5,378,3,ANY | JAZZ | JUNK | LUSH | VIVA | JURIES
43,VSUZYZUVLAAIJNISKRNHAUJJE,5,378,4,ASH | LIE | SUN | JAZZ | JUNK | JURY | VIVA
43,VSUZYZUVLAAIJNISKRNHAUJJE,5,378,5,ASH | SUN | VIA | EVIL | JAZZ | JUNK | JURY
43,VSUZYZUVLAAIJNISKRNHAUJJE,5,378,6,ASH | SUN | VIA | JAZZ | JUNK | JURY | LIVE
43,VSUZYZUVLAAIJNISKRNHAUJJE,5,378,7,ASH | SUN | VIA | JAZZ | JUNK | JURY | VEIL
43,VSUZYZUVLAAIJNISKRNHAUJJE,5,378,8,ASH | SUN | VIA | JAZZ | JUNK | JURY | VILE
44,UEEUOOAGVJQZABFRYXRZOBEVL,6,361,1,AGE | BOX | JOB | FUZZ | EVOLVE | QUARRY
44,UEEUOOAGVJQZABFRYXRZOBEVL,6,361,2,AGE | FOX | JOB | BUZZ | EVOLVE | QUARRY
44,UEEUOOAGVJQZABFRYXRZOBEVL,6,361,3,AGO | BOX | JOB | REV | REV | EQUAL | FUZZY
44,UEEUOOAGVJQZABFRYXRZOBEVL,6,361,4,AGO | BOX | JOB | REV | FUZZ | VERY | EQUAL
44,UEEUOOAGVJQZABFRYXRZOBEVL,6,361,5,AGO | BOX | JOY | REV | FUZZ | VERB | EQUAL
44,UEEUOOAGVJQZABFRYXRZOBEVL,6,361,6,AGO | FOX | JOB | REV | BUZZ | VERY | EQUAL
44,UEEUOOAGVJQZABFRYXRZOBEVL,6,361,7,AGO | FOX | JOY | REV | BUZZ | VERB | EQUAL
44,UEEUOOAGVJQZABFRYXRZOBEVL,6,361,8,AGO | JOB | REV | REV | BUZZ | FOXY | EQUAL
45,YICNVLEIIZUABVZIOZPJPZLZO,6,297,1,BUN | ZIP | ZIP | ZOO | JAZZ | LEVY | CIVIL
45,YICNVLEIIZUABVZIOZPJPZLZO,6,297,2,COL | IVY | NIP | ZIP | BUZZ | JAZZ | OLIVE
45,YICNVLEIIZUABVZIOZPJPZLZO,6,297,3,COL | IVY | PIN | ZIP | BUZZ | JAZZ | OLIVE
45,YICNVLEIIZUABVZIOZPJPZLZO,6,297,4,CON | IVY | LIP | ZIP | BUZZ | JAZZ | OLIVE
45,YICNVLEIIZUABVZIOZPJPZLZO,6,297,5,COP | IVY | ZIP | BUZZ | EVIL | JAZZ | LION
45,YICNVLEIIZUABVZIOZPJPZLZO,6,297,6,COP | IVY | ZIP | BUZZ | JAZZ | LION | LIVE
45,YICNVLEIIZUABVZIOZPJPZLZO,6,297,7,COP | IVY | ZIP | BUZZ | JAZZ | LION | VEIL
45,YICNVLEIIZUABVZIOZPJPZLZO,6,297,8,COP | IVY | ZIP | BUZZ | JAZZ | LION | VILE
46,EENQHELEXRWVVEUOOQUAXAEBS,6,292,1,AXE | BOX | REV | SHE | VOW | EQUAL | QUEEN
46,EENQHELEXRWVVEUOOQUAXAEBS,6,292,2,AXE | HEX | REV | SOB | VOW | EQUAL | QUEEN
46,EENQHELEXRWVVEUOOQUAXAEBS,6,292,3,AXE | HEX | VOW | BRAVO | QUEEN | SEQUEL
46,EENQHELEXRWVVEUOOQUAXAEBS,6,292,4,AXE | VOW | HOAX | VERB | QUEEN | SEQUEL
46,EENQHELEXRWVVEUOOQUAXAEBS,6,292,5,BOX | EEL | HEX | REV | VOW | AQUA | QUEENS
46,EENQHELEXRWVVEUOOQUAXAEBS,6,292,6,BOX | EEL | HEX | REV | AQUA | VOWS | QUEEN
46,EENQHELEXRWVVEUOOQUAXAEBS,6,292,7,BOX | EVE | HER | SAX | VOW | EQUAL | QUEEN
46,EENQHELEXRWVVEUOOQUAXAEBS,6,292,8,BOX | EVE | HEX | LOW | REV | AQUA | QUEENS
47,CSAAORAFJUJRVTRIXYFYWIZHX,6,251,1,ARC | FIX | JAR | FOXY | JURY | VAST | WHIZ
47,CSAAORAFJUJRVTRIXYFYWIZHX,6,251,2,ARC | FIX | VAT | FOXY | JARS | JURY | WHIZ
47,CSAAORAFJUJRVTRIXYFYWIZHX,6,251,3,ART | FAX | FIX | JAR | JOY | WHIZ | SCURVY
47,CSAAORAFJUJRVTRIXYFYWIZHX,6,251,4,ART | FIX | FOX | JAR | JAY | WHIZ | SCURVY
47,CSAAORAFJUJRVTRIXYFYWIZHX,6,251,5,CAR | FIX | JAR | FOXY | JURY | VAST | WHIZ
47,CSAAORAFJUJRVTRIXYFYWIZHX,6,251,6,CAR | FIX | VAT | FOXY | JARS | JURY | WHIZ
47,CSAAORAFJUJRVTRIXYFYWIZHX,6,251,7,COX | FAX | IVY | ZIT | JARS | JURY | WHARF
47,CSAAORAFJUJRVTRIXYFYWIZHX,6,251,8,COX | FAX | IVY | FRAT | JARS | JURY | WHIZ
48,EEGJEUOIJULELNQJQAVNTEWUK,6,196,1,ELL | EVE | JAW | JOG | JUNK | QUIT | QUEEN
48,EEGJEUOIJULELNQJQAVNTEWUK,6,196,2,EVE | JAW | JOT | JUG | KEN | QUEEN | QUILL
48,EEGJEUOIJULELNQJQAVNTEWUK,6,196,3,JAG | JIVE | JUNK | WELL | QUEEN | QUOTE
48,EEGJEUOIJULELNQJQAVNTEWUK,6,196,4,JAG | JUNK | LOVE | QUIT | JEWEL | QUEEN
48,EEGJEUOIJULELNQJQAVNTEWUK,6,196,5,JAG | JUNK | QUIT | VOLE | JEWEL | QUEEN
48,EEGJEUOIJULELNQJQAVNTEWUK,6,196,6,JAW | JIG | JUNK | LEVEL | QUEEN | QUOTE
48,EEGJEUOIJULELNQJQAVNTEWUK,6,196,7,JAW | JOG | JUNK | LEVEL | QUEEN | QUIET
48,EEGJEUOIJULELNQJQAVNTEWUK,6,196,8,JAW | JOG | JUNK | LEVEL | QUEEN | QUITE
49,VOONAERSAEUXOODBKEQDVFQUX,6,52,1,BOX | EVE | FOX | REV | NOOK | QUAD | SQUAD
49,VOONAERSAEUXOODBKEQDVFQUX,6,52,2,BOX | FOX | REV | SOD | OVEN | QUAD | QUAKE
49,VOONAERSAEUXOODBKEQDVFQUX,6,52,3,BOX | FOX | REV | SON | DOVE | QUAD | QUAKE
49,VOONAERSAEUXOODBKEQDVFQUX,6,52,4,BOX | FOX | OVEN | QUAD | DROVE | SQUEAK
49,VOONAERSAEUXOODBKEQDVFQUX,6,52,5,BOX | FOX | OVEN | DROVE | QUAKE | SQUAD
49,VOONAERSAEUXOODBKEQDVFQUX,6,52,6,BOX | FOX | OVER | QUAD | VODKA | QUEENS
49,VOONAERSAEUXOODBKEQDVFQUX,6,52,7,BOX | FOX | OVER | QUEEN | SQUAD | VODKA
49,VOONAERSAEUXOODBKEQDVFQUX,6,52,8,BOX | FOX | QUAD | ROVE | VODKA | QUEENS
50,SUHYLQBAJVXEHJEUKEAOOEVHN,6,32,1,ASK | HEX | HUH | JOB | JOY | QUEEN | VALVE
50,SUHYLQBAJVXEHJEUKEAOOEVHN,6,32,2,EVE | HEX | JOB | AQUA | ENVY | HULK | JOSH
50,SUHYLQBAJVXEHJEUKEAOOEVHN,6,32,3,EVE | HEX | JOB | AQUA | HUNK | JOSH | LEVY
50,SUHYLQBAJVXEHJEUKEAOOEVHN,6,32,4,EVE | HUH | JOB | LAX | ENVY | JOSH | QUAKE
50,SUHYLQBAJVXEHJEUKEAOOEVHN,6,32,5,HEX | HUB | JAY | JOHNS | QUAKE | EVOLVE
50,SUHYLQBAJVXEHJEUKEAOOEVHN,6,32,6,HEX | HUB | JOSH | ENJOY | QUAKE | VALVE
50,SUHYLQBAJVXEHJEUKEAOOEVHN,6,32,7,HEX | HUE | JOB | VAN | JOSH | LEVY | QUAKE
50,SUHYLQBAJVXEHJEUKEAOOEVHN,6,32,8,HEX | HUH | JOB | JOY | VAN | ELVES | QUAKE
